"STATISTIC","Year","Area of Residence","Age at Death","UNIT","Male","Female"
"Deaths Occurring","2007","Dublin City","All ages","Number","2065","2217"
"Deaths Occurring","2008","Dublin City","All ages","Number","2007","2162"
"Deaths Occurring","2009","Dublin City","All ages","Number","2043","2152"
"Deaths Occurring","2010","Dublin City","All ages","Number","1977","2103"
"Deaths Occurring","2011","Dublin City","All ages","Number","1985","2142"
"Deaths Occurring","2012","Dublin City","All ages","Number","2021","2060"
"Deaths Occurring","2013","Dublin City","All ages","Number","1881","2211"
"Deaths Occurring","2014","Dublin City","All ages","Number","1930","2092"
"Deaths Occurring","2015","Dublin City","All ages","Number","2003","2349"
"Deaths Occurring","2016","Dublin City","All ages","Number","1887","2165"
"Deaths Occurring","2017","Dublin City","All ages","Number","2011","2181"
"Deaths Occurring","2018","Dublin City","All ages","Number","1993","2240"
"Deaths Occurring","2019","Dublin City","All ages","Number","2122","2108"
"Deaths Occurring","2020","Dublin City","All ages","Number","2294","2354"
"Deaths Occurring","2021","Dublin City","All ages","Number","2298","2344"
"Deaths Occurring","2022","Dublin City","All ages","Number","2270","2374"
